Date Separator: / (379)
    コイラボロ・センニ語 (マリ), 0x1000, ses-ML
    サンゴ語 (中央アフリカ共和国), 0x1000, sg-CF
    タシルハイト語 (ラテン文字、モロッコ), 0x1000, shi-Latn-MA
    タシルハイト語 (ティフナグ文字、モロッコ), 0x1000, shi-Tfng-MA
    ソマリ語 (ジブチ), 0x1000, so-DJ
    ソマリ語 (エチオピア), 0x1000, so-ET
    ソマリ語 (ケニア), 0x1000, so-KE
    ソマリ語 (ソマリア), 0x0477, so-SO
    スンダ語 (ラテン文字、インドネシア), 0x1000, su-Latn-ID
    スワヒリ語 (コンゴ民主共和国[キンシャサ]), 0x1000, sw-CD
    スワヒリ語 (ケニア), 0x0441, sw-KE
    スワヒリ語 (タンザニア), 0x1000, sw-TZ
    スワヒリ語 (ウガンダ), 0x1000, sw-UG
    タミル語 (インド), 0x0449, ta-IN
    タミル語 (スリランカ), 0x0849, ta-LK
    タミル語 (マレーシア), 0x1000, ta-MY
    タミル語 (シンガポール), 0x1000, ta-SG
    テソ語 (ケニア), 0x1000, teo-KE
    テソ語 (ウガンダ), 0x1000, teo-UG
    タジク語 (タジキスタン), 0x1000, tg-TJ
    タイ語 (タイ), 0x041E, th-TH
    ティグリニア語 (エリトリア), 0x0873, ti-ER
    ティグリニア語 (エチオピア), 0x0473, ti-ET
    トンガ語 (トンガ), 0x1000, to-TO
    タサワク語 (ニジェール), 0x1000, twq-NE
    中央アトラス・タマジクト語 (アルジェリア), 0x1000, tzm-DZ
    中央アトラス・タマジクト語 (モロッコ), 0x1000, tzm-MA
    ウルドゥー語 (インド), 0x0820, ur-IN
    ウルドゥー語 (パキスタン), 0x0420, ur-PK
    ウズベク語 (キリル文字、ウズベキスタン), 0x0843, uz-Cyrl-UZ
    ウズベク語 (ラテン文字、ウズベキスタン), 0x0443, uz-Latn-UZ
    ヴァイ語 (ラテン文字、リベリア), 0x1000, vai-Latn-LR
    ヴァイ語 (ヴァイ文字、リベリア), 0x1000, vai-Vaii-LR
    ベトナム語 (ベトナム), 0x042A, vi-VN
    ヴンジョ語 (タンザニア), 0x1000, vun-TZ
    ソガ語 (ウガンダ), 0x1000, xog-UG
    ヤンベン語 (カメルーン), 0x1000, yav-CM
    イディッシュ語 (世界), 0x043D, yi-001
    ヨルバ語 (ベナン), 0x1000, yo-BJ
    ヨルバ語 (ナイジェリア), 0x046A, yo-NG
    標準モロッコ タマジクト語 (モロッコ), 0x1000, zgh-MA
    中国語 (簡体字、中国), 0x1000, zh-Hans-CN
    中国語 (簡体字、中華人民共和国香港特別行政区), 0x1000, zh-Hans-HK
    中国語 (簡体字、中華人民共和国マカオ特別行政区), 0x1000, zh-Hans-MO
    中国語 (簡体字、シンガポール), 0x1000, zh-Hans-SG
    中国語 (繁体字、中華人民共和国香港特別行政区), 0x1000, zh-Hant-HK
    中国語 (繁体字、中華人民共和国マカオ特別行政区), 0x1000, zh-Hant-MO
    中国語 (繁体字、台湾), 0x1000, zh-Hant-TW
    ズールー語 (南アフリカ), 0x0435, zu-ZA

Date Separator: - (110)
    アファル語 (ジブチ), 0x1000, aa-DJ
    アファル語 (エリトリア), 0x1000, aa-ER
    アファル語 (エチオピア), 0x1000, aa-ET
    アフリカーンス語 (ナミビア), 0x1000, af-NA
    アフリカーンス語 (南アフリカ), 0x0436, af-ZA
    マプチェ語 (チリ), 0x047A, arn-CL
    アッサム語 (インド), 0x044D, as-IN
    バシキール語 (ロシア), 0x046D, ba-RU
    チベット語 (中国), 0x0451, bo-CN
    チベット語 (インド), 0x1000, bo-IN
    ビリン語 (エリトリア), 0x1000, byn-ER
    チェチェン語 (ロシア), 0x1000, ce-RU
    中央クルド語 (イラク), 0x1000, ckb-IQ
    中央クルド語 (イラン), 0x1000, ckb-IR
    コルシカ語 (フランス), 0x0483, co-FR
    教会スラブ語 (ロシア), 0x1000, cu-RU
    ディベヒ語 (モルディブ), 0x0465, dv-MV
    ゾンカ語 (ブータン), 0x0C51, dz-BT
    英語 (カナダ), 0x1009, en-CA
    英語 (スウェーデン), 0x1000, en-SE
    エスペラント語 (世界), 0x1000, eo-001
    スペイン語 (チリ), 0x340A, es-CL
    Fulah (Adlam, Burkina Faso), 0x1000, ff-Adlm-BF
    Fulah (Adlam, Cameroon), 0x1000, ff-Adlm-CM
    Fulah (Adlam, Ghana), 0x1000, ff-Adlm-GH
    Fulah (Adlam, Gambia), 0x1000, ff-Adlm-GM
    Fulah (Adlam, Guinea), 0x1000, ff-Adlm-GN
    Fulah (Adlam, Guinea-Bissau), 0x1000, ff-Adlm-GW
    Fulah (Adlam, Liberia), 0x1000, ff-Adlm-LR
    Fulah (Adlam, Mauritania), 0x1000, ff-Adlm-MR
    Fulah (Adlam, Niger), 0x1000, ff-Adlm-NE
    Fulah (Adlam, Nigeria), 0x1000, ff-Adlm-NG
    Fulah (Adlam, Sierra Leone), 0x1000, ff-Adlm-SL
    Fulah (Adlam, Senegal), 0x1000, ff-Adlm-SN
    フランス語 (カナダ), 0x0C0C, fr-CA
    西フリジア語 (オランダ), 0x0462, fy-NL
    グアラニー語 (パラグアイ), 0x0474, gn-PY
    マン島語 (マン島), 0x1000, gv-IM
    インターリングア (世界), 0x1000, ia-001
    イ語 (中国), 0x0478, ii-CN
    イヌクティトット語 (ラテン文字、カナダ), 0x085D, iu-Latn-CA
    ンゴンバ語 (カメルーン), 0x1000, jgo-CM
    ジャワ語 (インドネシア), 0x1000, jv-ID
    ジャワ語 (ジャワ文字、インドネシア), 0x1000, jv-Java-ID
